LineStatus;Quantity;DocDate;BaseCard;CFOPCode
O;389;2019-11-05 00:00:00.000;A-4222;6922
O;275;2019-11-05 00:00:00.000;A-4222;6922
O;393;2019-11-05 00:00:00.000;A-4222;6922
O;128;2019-11-05 00:00:00.000;A-4222;6922
O;305;2019-11-05 00:00:00.000;A-4222;6922
O;405;2019-11-05 00:00:00.000;A-4222;6922
O;177;2019-11-05 00:00:00.000;A-4222;6922
O;180;2019-11-05 00:00:00.000;A-4222;6922
O;407;2019-11-05 00:00:00.000;A-4222;6922
O;394;2019-11-05 00:00:00.000;A-4222;6922
O;337;2019-11-05 00:00:00.000;A-4222;6922
O;214;2019-11-05 00:00:00.000;A-4222;6922
O;274;2019-11-05 00:00:00.000;A-4222;6922
O;395;2019-11-05 00:00:00.000;A-4222;6922
O;379;2019-11-05 00:00:00.000;A-4222;6922
C;499;2019-10-31 00:00:00.000;A-2488;6949
C;298;2019-10-31 00:00:00.000;A-2488;6949
O;400;2019-11-05 00:00:00.000;A-42;6108
O;400;2019-11-05 00:00:00.000;A-42;6108
O;358;2019-11-05 00:00:00.000;A-4164;6108
O;322;2019-11-05 00:00:00.000;A-4164;6108
O;309;2019-11-05 00:00:00.000;A-4164;6108
O;325;2019-11-05 00:00:00.000;A-4164;6108
O;324;2019-11-05 00:00:00.000;A-4164;6108
O;467;2019-11-05 00:00:00.000;A-4418;6403
O;127;2019-11-05 00:00:00.000;A-4418;6403
O;341;2019-11-05 00:00:00.000;A-4418;6102
O;280;2019-11-05 00:00:00.000;A-4418;6102
O;210;2019-11-05 00:00:00.000;A-4418;6102
O;248;2019-11-05 00:00:00.000;A-4418;6403
O;450;2019-11-05 00:00:00.000;A-4418;6403
O;380;2019-11-05 00:00:00.000;A-4418;6102
O;259;2019-11-05 00:00:00.000;A-4418;6102
O;146;2019-11-05 00:00:00.000;A-4418;6102
O;228;2019-11-05 00:00:00.000;A-4418;6102
O;426;2019-11-05 00:00:00.000;A-4450;6108
O;403;2019-11-05 00:00:00.000;A-3796;6108
O;459;2019-11-05 00:00:00.000;A-2110;6108
O;253;2019-11-05 00:00:00.000;A-2110;6108
O;266;2019-11-05 00:00:00.000;A-654;5102
O;404;2019-11-05 00:00:00.000;A-1480;6108
O;186;2019-11-05 00:00:00.000;A-1480;6108
O;132;2019-11-05 00:00:00.000;A-84;5102
O;329;2019-11-05 00:00:00.000;A-84;5102
O;143;2019-11-05 00:00:00.000;A-84;5102
O;160;2019-11-05 00:00:00.000;A-84;5102
O;460;2019-11-05 00:00:00.000;A-84;5101
O;207;2019-11-05 00:00:00.000;A-84;5101
O;422;2019-11-05 00:00:00.000;A-84;5102
O;159;2019-11-05 00:00:00.000;A-84;5101
O;170;2019-11-05 00:00:00.000;A-586;5102
O;464;2019-11-05 00:00:00.000;A-586;5102
O;139;2019-11-05 00:00:00.000;A-104;5117
O;264;2019-11-05 00:00:00.000;A-104;5117
O;348;2019-11-05 00:00:00.000;A-104;5117
O;270;2019-11-05 00:00:00.000;A-104;5117
O;196;2019-11-05 00:00:00.000;A-104;5117
O;139;2019-11-05 00:00:00.000;A-104;5117
O;446;2019-11-05 00:00:00.000;A-104;5117
O;169;2019-11-05 00:00:00.000;A-104;5117
O;252;2019-11-05 00:00:00.000;A-104;5117
O;364;2019-11-05 00:00:00.000;A-104;5117
O;366;2019-11-05 00:00:00.000;A-104;5117
O;186;2019-11-05 00:00:00.000;A-104;5117
O;230;2019-11-05 00:00:00.000;A-104;5117
O;126;2019-11-05 00:00:00.000;A-104;5117
O;183;2019-11-05 00:00:00.000;A-104;5117
O;165;2019-11-05 00:00:00.000;A-104;5117
O;358;2019-11-05 00:00:00.000;A-104;5117
O;187;2019-11-05 00:00:00.000;A-104;5117
O;469;2019-11-05 00:00:00.000;A-104;5117
O;257;2019-11-05 00:00:00.000;A-104;5117
O;477;2019-11-05 00:00:00.000;A-3960;5102
O;441;2019-11-05 00:00:00.000;A-4396;6108
O;181;2019-11-05 00:00:00.000;A-4396;6108
O;289;2019-11-05 00:00:00.000;A-4396;6108
O;324;2019-11-05 00:00:00.000;A-1902;5117
O;412;2019-11-05 00:00:00.000;A-1902;5117
O;347;2019-11-05 00:00:00.000;A-1902;5117
O;455;2019-11-05 00:00:00.000;A-1902;5117
O;338;2019-11-05 00:00:00.000;A-1902;5117
O;138;2019-11-05 00:00:00.000;A-1902;5117
O;255;2019-11-05 00:00:00.000;A-1902;5117
O;231;2019-11-05 00:00:00.000;A-4402;6108
O;208;2019-11-05 00:00:00.000;A-4402;6108
O;408;2019-11-05 00:00:00.000;A-4402;6108
O;497;2019-11-05 00:00:00.000;A-4402;6108
O;458;2019-11-05 00:00:00.000;A-4402;6108
O;427;2019-11-05 00:00:00.000;A-4402;6108
O;211;2019-11-05 00:00:00.000;A-38;5927
C;230;2019-10-31 00:00:00.000;A-2680;6949
C;450;2019-10-31 00:00:00.000;A-3602;5949
C;155;2019-10-31 00:00:00.000;A-3996;5949
C;166;2019-10-31 00:00:00.000;A-3996;5949
C;162;2019-10-31 00:00:00.000;A-3996;5949
C;481;2019-10-31 00:00:00.000;A-3996;5949
O;205;2019-10-31 00:00:00.000;A-3996;5949
O;255;2019-10-31 00:00:00.000;A-3996;5949
O;402;2019-10-31 00:00:00.000;A-2488;6949
O;350;2019-10-31 00:00:00.000;A-3064;5949
C;149;2019-10-31 00:00:00.000;A-602;5949
O;183;2019-10-31 00:00:00.000;A-3432;5949
O;152;2019-10-31 00:00:00.000;A-84;5949
O;458;2019-10-31 00:00:00.000;A-84;5949
C;184;2019-10-31 00:00:00.000;A-2680;6949
O;326;2019-11-07 00:00:00.000;A-4300;5102
O;219;2019-11-07 00:00:00.000;A-3398;6108
O;317;2019-11-07 00:00:00.000;A-3398;6108
O;287;2019-11-07 00:00:00.000;A-414;6108
O;486;2019-11-07 00:00:00.000;A-414;6108
O;104;2019-11-07 00:00:00.000;A-414;6108
O;282;2019-11-07 00:00:00.000;A-414;6108
O;418;2019-11-07 00:00:00.000;A-414;6108
O;249;2019-11-07 00:00:00.000;A-414;6108
O;283;2019-11-07 00:00:00.000;A-414;6108
O;386;2019-11-07 00:00:00.000;A-414;6108
O;317;2019-11-07 00:00:00.000;A-414;6108
O;353;2019-11-07 00:00:00.000;A-414;6108
O;198;2019-11-07 00:00:00.000;A-414;6108
O;221;2019-11-07 00:00:00.000;A-414;6108
O;243;2019-11-07 00:00:00.000;A-414;6108
O;221;2019-11-07 00:00:00.000;A-414;6108
O;149;2019-11-07 00:00:00.000;A-414;6108
O;353;2019-11-07 00:00:00.000;A-414;6108
O;123;2019-11-07 00:00:00.000;A-414;6108
O;397;2019-11-07 00:00:00.000;A-716;5102
O;306;2019-11-07 00:00:00.000;A-4516;6108
O;208;2019-11-07 00:00:00.000;A-4516;6108
O;451;2019-11-07 00:00:00.000;A-4516;6108
O;133;2019-11-07 00:00:00.000;A-4516;6108
O;101;2019-11-07 00:00:00.000;A-4516;6108
C;452;2019-10-31 00:00:00.000;A-2680;6949
O;471;2019-10-31 00:00:00.000;A-2680;6949
C;224;2019-10-31 00:00:00.000;A-4368;6949
C;129;2019-10-31 00:00:00.000;A-4368;6949
O;375;2019-10-31 00:00:00.000;A-3828;6949
O;429;2019-11-07 00:00:00.000;A-4356;5102
O;150;2019-11-07 00:00:00.000;A-4356;5102
O;119;2019-11-07 00:00:00.000;A-4356;5102
O;110;2019-10-31 00:00:00.000;A-4426;5933
O;228;2019-10-31 00:00:00.000;A-4436;5949
O;264;2019-11-07 00:00:00.000;A-934;6108
O;299;2019-11-07 00:00:00.000;A-934;6108
O;235;2019-11-07 00:00:00.000;A-934;6108
O;397;2019-11-07 00:00:00.000;A-934;6108
O;168;2019-11-07 00:00:00.000;A-934;6108
O;227;2019-11-07 00:00:00.000;A-934;6108
O;330;2019-11-07 00:00:00.000;A-934;6108
O;287;2019-11-07 00:00:00.000;A-934;6108
O;226;2019-11-07 00:00:00.000;A-934;6108
O;432;2019-11-07 00:00:00.000;A-934;6108
O;425;2019-11-07 00:00:00.000;A-934;6108
O;369;2019-11-07 00:00:00.000;A-38;5927
O;188;2019-11-07 00:00:00.000;A-4316;6108
O;330;2019-11-07 00:00:00.000;A-4186;5102
O;427;2019-11-07 00:00:00.000;A-4186;5102
O;147;2019-11-07 00:00:00.000;A-4186;5102
O;415;2019-11-07 00:00:00.000;A-4186;5102
O;249;2019-11-07 00:00:00.000;A-88;5102
O;327;2019-11-07 00:00:00.000;A-88;5102
O;107;2019-11-07 00:00:00.000;A-88;5102
O;221;2019-11-07 00:00:00.000;A-88;5102
O;164;2019-11-07 00:00:00.000;A-4492;5102
O;363;2019-11-07 00:00:00.000;A-384;5102
O;459;2019-11-07 00:00:00.000;A-14;5102
O;445;2019-11-07 00:00:00.000;A-14;5405
O;343;2019-11-07 00:00:00.000;A-14;5102
O;141;2019-11-07 00:00:00.000;A-14;5405
O;286;2019-11-07 00:00:00.000;A-14;5102
O;349;2019-11-07 00:00:00.000;A-14;5405
O;370;2019-11-07 00:00:00.000;A-14;5405
O;382;2019-11-07 00:00:00.000;A-14;5405
O;244;2019-11-07 00:00:00.000;A-14;5102
O;427;2019-11-07 00:00:00.000;A-14;5405
C;356;2019-10-31 00:00:00.000;A-4368;6949
C;372;2019-10-31 00:00:00.000;A-4368;6949
C;315;2019-10-31 00:00:00.000;A-4368;6949
C;384;2019-10-31 00:00:00.000;A-4368;6949
O;376;2019-11-08 00:00:00.000;A-4454;6922
O;266;2019-11-08 00:00:00.000;A-4454;6922
O;350;2019-11-08 00:00:00.000;A-4454;6922
O;385;2019-11-08 00:00:00.000;A-4454;6922
O;106;2019-11-08 00:00:00.000;A-4454;6922
O;223;2019-11-08 00:00:00.000;A-4454;6922
O;161;2019-11-08 00:00:00.000;A-4454;6922
O;263;2019-11-08 00:00:00.000;A-4136;6922
O;206;2019-11-08 00:00:00.000;A-4136;6922
O;437;2019-11-08 00:00:00.000;A-4136;6922
C;172;2019-10-31 00:00:00.000;A-4368;6949
C;404;2019-10-31 00:00:00.000;A-4368;6949
O;174;2019-10-31 00:00:00.000;A-4368;6949
O;149;2019-10-31 00:00:00.000;A-4368;6949
C;197;2019-11-08 00:00:00.000;A-4390;6922
C;337;2019-11-08 00:00:00.000;A-4390;6922
C;243;2019-11-08 00:00:00.000;A-4390;6922
C;442;2019-11-08 00:00:00.000;A-4390;6922
C;225;2019-11-08 00:00:00.000;A-4390;6922
C;206;2019-11-08 00:00:00.000;A-4390;6922
C;490;2019-11-08 00:00:00.000;A-4390;6922
C;277;2019-11-08 00:00:00.000;A-4390;6922
C;326;2019-11-08 00:00:00.000;A-4390;6922
C;370;2019-11-08 00:00:00.000;A-4390;6922
C;500;2019-11-08 00:00:00.000;A-4390;6922
O;283;2019-11-08 00:00:00.000;A-1062;5102
O;325;2019-11-08 00:00:00.000;A-1336;5102
O;462;2019-11-08 00:00:00.000;A-4406;5102
O;185;2019-11-08 00:00:00.000;A-4406;5102
O;297;2019-11-08 00:00:00.000;A-4406;5405
O;479;2019-11-08 00:00:00.000;A-4406;5405
O;187;2019-11-08 00:00:00.000;A-4406;5405
O;273;2019-11-08 00:00:00.000;A-4278;6108
O;214;2019-11-08 00:00:00.000;A-4278;6108
O;348;2019-11-08 00:00:00.000;A-4278;6108
O;275;2019-11-08 00:00:00.000;A-4278;6108
O;405;2019-11-08 00:00:00.000;A-4278;6108
O;133;2019-11-08 00:00:00.000;A-4278;6108
O;306;2019-11-08 00:00:00.000;A-4278;6108
O;461;2019-11-08 00:00:00.000;A-4278;6108
O;246;2019-11-08 00:00:00.000;A-4278;6108
O;346;2019-11-08 00:00:00.000;A-4278;6108
O;489;2019-11-08 00:00:00.000;A-4490;5403
O;305;2019-11-08 00:00:00.000;A-602;5102
O;337;2019-11-08 00:00:00.000;A-134;5102
O;184;2019-11-08 00:00:00.000;A-134;5102
O;369;2019-11-08 00:00:00.000;A-4360;5102
O;140;2019-11-08 00:00:00.000;A-1116;5405
O;202;2019-11-08 00:00:00.000;A-1116;5405
O;413;2019-11-08 00:00:00.000;A-1116;5102
O;258;2019-11-08 00:00:00.000;A-4484;6108
O;298;2019-11-08 00:00:00.000;A-576;5117
O;140;2019-11-08 00:00:00.000;A-576;5117
O;493;2019-11-08 00:00:00.000;A-576;5117
O;111;2019-11-08 00:00:00.000;A-576;5117
O;427;2019-11-08 00:00:00.000;A-576;5117
O;362;2019-11-08 00:00:00.000;A-576;5117
O;401;2019-11-08 00:00:00.000;A-576;5117
O;310;2019-11-08 00:00:00.000;A-576;5117
O;482;2019-11-08 00:00:00.000;A-384;5102
O;102;2019-11-08 00:00:00.000;A-384;5102
O;307;2019-11-08 00:00:00.000;A-384;5102
O;291;2019-11-08 00:00:00.000;A-384;5102
O;299;2019-11-08 00:00:00.000;A-384;5102
O;121;2019-11-08 00:00:00.000;A-384;5405
O;158;2019-11-08 00:00:00.000;A-384;5405
O;382;2019-11-08 00:00:00.000;A-384;5405
O;480;2019-11-08 00:00:00.000;A-384;5102
O;150;2019-11-08 00:00:00.000;A-384;5102
C;396;2019-11-08 00:00:00.000;A-4390;6922
C;426;2019-11-08 00:00:00.000;A-4390;6922
C;352;2019-11-08 00:00:00.000;A-4390;6922
C;257;2019-11-08 00:00:00.000;A-4390;6922
C;366;2019-11-08 00:00:00.000;A-4390;6922
C;304;2019-11-08 00:00:00.000;A-4390;6922
C;206;2019-11-08 00:00:00.000;A-4390;6922
C;173;2019-11-08 00:00:00.000;A-4390;6922
C;416;2019-11-08 00:00:00.000;A-4390;6922
C;226;2019-11-08 00:00:00.000;A-4390;6922
C;286;2019-11-08 00:00:00.000;A-4390;6922
O;361;2019-11-08 00:00:00.000;A-4390;6922
O;329;2019-11-08 00:00:00.000;A-4390;6922
O;250;2019-11-08 00:00:00.000;A-4390;6922
O;341;2019-11-08 00:00:00.000;A-4390;6922
O;378;2019-11-08 00:00:00.000;A-4390;6922
O;421;2019-11-08 00:00:00.000;A-4390;6922
O;401;2019-11-08 00:00:00.000;A-4390;6922
O;259;2019-11-08 00:00:00.000;A-4390;6922
O;145;2019-11-08 00:00:00.000;A-4390;6922
O;360;2019-11-08 00:00:00.000;A-4390;6922
O;265;2019-11-08 00:00:00.000;A-4390;6922
O;309;2019-11-07 00:00:00.000;A-38;5927
O;463;2019-11-07 00:00:00.000;A-38;5927
O;281;2019-11-07 00:00:00.000;A-38;5927
O;447;2019-11-11 00:00:00.000;A-4452;5922
O;347;2019-11-11 00:00:00.000;A-4452;5922
O;147;2019-11-11 00:00:00.000;A-4452;5922
O;238;2019-11-11 00:00:00.000;A-3948;5102
O;447;2019-11-11 00:00:00.000;A-4214;5102
O;468;2019-11-11 00:00:00.000;A-4214;5405
O;107;2019-11-11 00:00:00.000;A-4214;5405
O;316;2019-11-11 00:00:00.000;A-4214;5102
O;213;2019-11-11 00:00:00.000;A-4214;5102
O;203;2019-11-11 00:00:00.000;A-4214;5102
O;480;2019-11-11 00:00:00.000;A-4504;6108
O;200;2019-11-11 00:00:00.000;A-4504;6108
O;261;2019-11-11 00:00:00.000;A-1302;5117
O;337;2019-11-11 00:00:00.000;A-1302;5117
O;139;2019-11-11 00:00:00.000;A-1302;5117
O;272;2019-11-11 00:00:00.000;A-3440;5102
O;153;2019-11-11 00:00:00.000;A-3440;5405
O;163;2019-11-11 00:00:00.000;A-3440;5102
O;499;2019-11-11 00:00:00.000;A-3440;5102
O;401;2019-11-11 00:00:00.000;A-3440;5102
O;137;2019-11-11 00:00:00.000;A-3440;5102
O;325;2019-11-11 00:00:00.000;A-3440;5405
O;362;2019-11-11 00:00:00.000;A-3440;5405
O;238;2019-11-11 00:00:00.000;A-3440;5405
O;500;2019-11-11 00:00:00.000;A-994;5405
O;422;2019-11-11 00:00:00.000;A-994;5102
O;483;2019-11-11 00:00:00.000;A-994;5405
O;351;2019-11-11 00:00:00.000;A-994;5405
O;338;2019-11-11 00:00:00.000;A-1336;5102
O;179;2019-11-11 00:00:00.000;A-1336;5102
O;101;2019-11-11 00:00:00.000;A-1336;5102
O;199;2019-11-11 00:00:00.000;A-1336;5102
O;148;2019-11-11 00:00:00.000;A-1336;5102
O;366;2019-11-11 00:00:00.000;A-1336;5405
O;215;2019-11-11 00:00:00.000;A-1336;5405
O;397;2019-11-11 00:00:00.000;A-1336;5405
O;266;2019-11-11 00:00:00.000;A-2466;6108
O;494;2019-11-11 00:00:00.000;A-4404;6108
O;238;2019-11-12 00:00:00.000;A-470;5102
O;210;2019-11-12 00:00:00.000;A-2142;6108
O;191;2019-10-31 00:00:00.000;A-3986;6949
O;311;2019-10-31 00:00:00.000;A-3986;6949
O;353;2019-10-31 00:00:00.000;A-3986;6949
O;125;2019-10-31 00:00:00.000;A-3986;6949
O;229;2019-11-12 00:00:00.000;A-4486;6108
O;321;2019-11-12 00:00:00.000;A-4486;6108
O;338;2019-11-12 00:00:00.000;A-4486;6108
O;173;2019-11-12 00:00:00.000;A-4486;6108
O;182;2019-11-12 00:00:00.000;A-4486;6108
O;211;2019-11-12 00:00:00.000;A-4486;6108
O;281;2019-11-12 00:00:00.000;A-4486;6108
O;344;2019-11-12 00:00:00.000;A-4486;6108
O;314;2019-11-12 00:00:00.000;A-4486;6108
O;387;2019-11-12 00:00:00.000;A-4486;6108
O;429;2019-11-12 00:00:00.000;A-4486;6108
O;338;2019-11-12 00:00:00.000;A-4486;6108
O;490;2019-11-12 00:00:00.000;A-4486;6108
O;299;2019-11-12 00:00:00.000;A-4486;6108
O;471;2019-11-12 00:00:00.000;A-4486;6108
O;389;2019-11-12 00:00:00.000;A-4486;6108
O;489;2019-11-12 00:00:00.000;A-4486;6108
O;220;2019-11-12 00:00:00.000;A-4486;6108
O;243;2019-11-12 00:00:00.000;A-4486;6108
O;197;2019-11-12 00:00:00.000;A-4486;6108
O;423;2019-11-12 00:00:00.000;A-4486;6108
O;368;2019-11-12 00:00:00.000;A-4486;6108
O;495;2019-11-12 00:00:00.000;A-4486;6108
O;124;2019-11-12 00:00:00.000;A-4486;6108
O;305;2019-11-12 00:00:00.000;A-468;6108
O;133;2019-11-12 00:00:00.000;A-468;6108
O;240;2019-11-12 00:00:00.000;A-468;6108
O;287;2019-11-12 00:00:00.000;A-468;6108
O;141;2019-11-12 00:00:00.000;A-468;6108
O;476;2019-11-12 00:00:00.000;A-962;6108
O;359;2019-11-12 00:00:00.000;A-4414;5102
O;320;2019-11-12 00:00:00.000;A-4414;5102
O;492;2019-11-12 00:00:00.000;A-4414;5102
O;444;2019-11-12 00:00:00.000;A-4414;5102
O;385;2019-11-12 00:00:00.000;A-4414;5102
O;369;2019-11-12 00:00:00.000;A-4414;5102
O;141;2019-11-12 00:00:00.000;A-4414;5102
O;312;2019-11-12 00:00:00.000;A-4414;5102
O;381;2019-11-12 00:00:00.000;A-4414;5102
O;151;2019-11-12 00:00:00.000;A-4414;5405
O;467;2019-11-12 00:00:00.000;A-4414;5102
O;245;2019-11-12 00:00:00.000;A-4414;5102
O;442;2019-11-12 00:00:00.000;A-4414;5102
O;351;2019-11-12 00:00:00.000;A-4414;5102
O;225;2019-11-12 00:00:00.000;A-4414;5405
O;487;2019-11-12 00:00:00.000;A-4414;5405
O;488;2019-11-12 00:00:00.000;A-4414;5405
O;234;2019-11-12 00:00:00.000;A-4414;5102
O;151;2019-11-12 00:00:00.000;A-4414;5102
O;216;2019-11-12 00:00:00.000;A-4414;5405
O;133;2019-11-12 00:00:00.000;A-4414;5405
O;151;2019-11-12 00:00:00.000;A-4414;5405
O;194;2019-11-12 00:00:00.000;A-4414;5102
O;155;2019-11-12 00:00:00.000;A-38;5927
O;248;2019-11-12 00:00:00.000;A-4168;5102
O;189;2019-11-12 00:00:00.000;A-4168;5405
O;322;2019-11-12 00:00:00.000;A-4168;5102
O;291;2019-11-12 00:00:00.000;A-4168;5102
O;113;2019-11-12 00:00:00.000;A-4168;5102
O;181;2019-11-12 00:00:00.000;A-4168;5405
O;125;2019-11-12 00:00:00.000;A-4168;5405
O;376;2019-11-12 00:00:00.000;A-4168;5102
O;140;2019-11-12 00:00:00.000;A-2944;6108
O;112;2019-11-12 00:00:00.000;A-2944;6108
O;162;2019-11-12 00:00:00.000;A-2726;6108
O;164;2019-11-12 00:00:00.000;A-2726;6108
O;279;2019-11-12 00:00:00.000;A-2726;6108
O;387;2019-11-12 00:00:00.000;A-3728;5102
O;374;2019-11-12 00:00:00.000;A-3728;5102
O;435;2019-11-12 00:00:00.000;A-3728;5102
O;278;2019-11-12 00:00:00.000;A-4492;5405
O;474;2019-11-12 00:00:00.000;A-4492;5102
O;111;2019-11-13 00:00:00.000;A-4574;6922
O;132;2019-11-13 00:00:00.000;A-4574;6922
O;212;2019-11-13 00:00:00.000;A-4574;6922
O;385;2019-11-13 00:00:00.000;A-4574;6922
O;138;2019-11-13 00:00:00.000;A-4566;5922
O;464;2019-11-13 00:00:00.000;A-4566;5922
O;236;2019-11-13 00:00:00.000;A-4566;5922
O;435;2019-11-13 00:00:00.000;A-4566;5922
O;223;2019-11-13 00:00:00.000;A-4566;5922
O;107;2019-11-13 00:00:00.000;A-4566;5922
O;351;2019-11-13 00:00:00.000;A-4656;5102
O;170;2019-11-13 00:00:00.000;A-4194;5102
O;370;2019-11-13 00:00:00.000;A-4194;5405
O;162;2019-11-13 00:00:00.000;A-4194;5405
O;435;2019-11-13 00:00:00.000;A-4194;5405
O;133;2019-11-13 00:00:00.000;A-4194;5102
O;371;2019-11-13 00:00:00.000;A-4194;5102
O;346;2019-11-13 00:00:00.000;A-4194;5405
O;146;2019-11-13 00:00:00.000;A-4194;5102
O;410;2019-11-13 00:00:00.000;A-4194;5102
O;178;2019-11-13 00:00:00.000;A-4462;6404
O;277;2019-11-13 00:00:00.000;A-4462;6102
O;396;2019-11-13 00:00:00.000;A-4664;5102
O;110;2019-11-13 00:00:00.000;A-4222;6117
O;313;2019-11-13 00:00:00.000;A-4222;6117
O;198;2019-11-13 00:00:00.000;A-4222;6117
O;498;2019-11-13 00:00:00.000;A-4222;6117
O;125;2019-11-13 00:00:00.000;A-4222;6117
O;374;2019-11-13 00:00:00.000;A-4222;6117
O;198;2019-11-13 00:00:00.000;A-4222;6117
O;139;2019-11-13 00:00:00.000;A-4222;6117
O;426;2019-11-13 00:00:00.000;A-4222;6117
O;146;2019-11-13 00:00:00.000;A-4222;6117
O;118;2019-11-13 00:00:00.000;A-4222;6117
O;474;2019-11-13 00:00:00.000;A-4222;6117
O;347;2019-11-13 00:00:00.000;A-4222;6117
O;410;2019-11-13 00:00:00.000;A-4222;6117
O;133;2019-11-13 00:00:00.000;A-4222;6117
O;145;2019-11-13 00:00:00.000;A-4222;6117
O;127;2019-11-13 00:00:00.000;A-4222;6117
C;202;2019-10-31 00:00:00.000;A-4432;5949
C;269;2019-10-31 00:00:00.000;A-4432;5949
C;398;2019-10-31 00:00:00.000;A-4432;5949
C;134;2019-10-31 00:00:00.000;A-4432;5949
O;176;2019-11-13 00:00:00.000;A-4170;5117
C;283;2019-10-31 00:00:00.000;A-4432;5949
